日付,受注件数
2026-05-09,42
2026-05-10,32
2026-05-11,116
2026-05-12,111
2026-05-13,113
2026-05-14,112
2026-05-15,133
2026-05-16,37
2026-05-17,37
2026-05-18,118
2026-05-19,115
2026-05-20,117
2026-05-21,108
2026-05-22,127
2026-05-23,32
2026-05-24,30
2026-05-25,125
2026-05-26,141
2026-05-27,128
2026-05-28,128
2026-05-29,141
2026-05-30,57
2026-05-31,28
2026-06-01,127
2026-06-02,119
2026-06-03,115
2026-06-04,120
2026-06-05,142
2026-06-06,39
2026-06-07,31
2026-06-08,123
2026-06-09,126
2026-06-10,114
2026-06-11,113
2026-06-12,129
2026-06-13,54
2026-06-14,33
2026-06-15,128
2026-06-16,120
2026-06-17,118
2026-06-18,120
2026-06-19,141
2026-06-20,38
2026-06-21,33
2026-06-22,126
2026-06-23,117
2026-06-24,129
2026-06-25,121
2026-06-26,164
2026-06-27,46
2026-06-28,41
2026-06-29,153
2026-06-30,152
