date,sales,temperature,rain_flag,event_flag,weekday_flag,weekend_flag
2025-03-13,192,24.8,1,0,1,0
2025-03-14,269,21.9,0,1,1,0
2025-03-15,250,25.3,0,0,0,1
2025-03-16,208,17.1,1,0,0,1
2025-03-17,219,24.2,0,0,1,0
2025-03-18,199,23.0,0,0,1,0
2025-03-19,205,22.4,0,0,1,0
2025-03-20,247,23.4,0,1,1,0
2025-03-21,202,19.5,1,0,1,0
2025-03-22,239,23.2,1,0,0,1
2025-03-23,251,24.6,0,0,0,1
2025-03-24,220,27.0,0,0,1,0
2025-03-25,248,23.3,0,1,1,0
2025-03-26,205,22.9,0,0,1,0
2025-03-27,202,23.7,0,0,1,0
2025-03-28,211,26.7,0,0,1,0
2025-03-29,250,25.7,0,0,0,1
2025-03-30,249,24.2,0,0,0,1
2025-03-31,244,26.5,0,0,1,0
2025-04-01,219,25.9,1,0,1,0
2025-04-02,231,27.8,0,0,1,0
2025-04-03,286,24.6,0,1,1,0
2025-04-04,248,25.6,0,0,1,0
2025-04-05,238,25.6,0,0,0,1
2025-04-06,265,23.7,0,0,0,1
2025-04-07,235,27.4,0,0,1,0
2025-04-08,207,27.5,1,0,1,0
2025-04-09,214,27.1,0,0,1,0
2025-04-10,279,26.8,0,1,1,0
2025-04-11,215,24.6,0,0,1,0
2025-04-12,264,26.8,0,0,0,1
2025-04-13,241,27.1,1,0,0,1
2025-04-14,262,26.4,0,1,1,0
2025-04-15,245,27.8,0,0,1,0
2025-04-16,236,29.1,0,0,1,0
2025-04-17,244,32.2,0,0,1,0
2025-04-18,258,28.9,0,0,1,0
2025-04-19,273,29.3,0,0,0,1
2025-04-20,277,28.8,0,0,0,1
2025-04-21,239,25.2,0,0,1,0
2025-04-22,245,29.1,0,0,1,0
2025-04-23,243,29.5,0,0,1,0
2025-04-24,269,34.4,0,0,1,0
2025-04-25,266,29.2,0,0,1,0
2025-04-26,278,30.4,0,0,0,1
2025-04-27,269,29.8,0,0,0,1
2025-04-28,228,27.7,1,0,1,0
2025-04-29,252,32.4,0,0,1,0
2025-04-30,266,31.8,0,0,1,0
2025-05-01,260,32.0,0,0,1,0
2025-05-02,264,28.7,0,0,1,0
2025-05-03,289,33.4,0,0,0,1
2025-05-04,270,28.0,0,0,0,1
2025-05-05,232,32.0,1,0,1,0
2025-05-06,264,35.4,0,0,1,0
2025-05-07,230,29.1,0,0,1,0
2025-05-08,262,30.1,0,0,1,0
2025-05-09,286,31.5,0,0,1,0
2025-05-10,267,30.4,0,0,0,1
2025-05-11,251,28.4,1,0,0,1
2025-05-12,258,31.7,0,0,1,0
2025-05-13,228,29.6,1,0,1,0
2025-05-14,243,32.7,1,0,1,0
2025-05-15,253,30.0,0,0,1,0
2025-05-16,266,35.1,0,0,1,0
2025-05-17,304,30.5,0,0,0,1
2025-05-18,343,31.5,0,1,0,1
2025-05-19,258,33.9,0,0,1,0
2025-05-20,271,29.8,0,0,1,0
2025-05-21,258,32.8,0,0,1,0
2025-05-22,255,35.1,0,0,1,0
2025-05-23,253,29.3,1,0,1,0
2025-05-24,303,33.0,0,0,0,1
2025-05-25,288,33.2,1,0,0,1
2025-05-26,275,34.3,0,0,1,0
2025-05-27,266,30.3,0,0,1,0
2025-05-28,266,30.2,0,0,1,0
2025-05-29,264,34.0,0,0,1,0
2025-05-30,256,33.6,1,0,1,0
2025-05-31,312,33.5,0,0,0,1
2025-06-01,290,33.8,1,0,0,1
2025-06-02,275,31.8,0,0,1,0
2025-06-03,299,33.7,0,1,1,0
2025-06-04,249,33.8,1,0,1,0
2025-06-05,315,31.9,1,1,1,0
2025-06-06,279,37.1,1,0,1,0
2025-06-07,313,34.3,0,0,0,1
2025-06-08,311,31.0,0,0,0,1
2025-06-09,281,34.8,1,0,1,0
2025-06-10,291,31.5,0,0,1,0
2025-06-11,245,35.1,1,0,1,0
2025-06-12,251,35.9,1,0,1,0
2025-06-13,269,31.9,0,0,1,0
2025-06-14,291,35.5,1,0,0,1
2025-06-15,342,34.5,1,1,0,1
2025-06-16,284,35.3,0,0,1,0
2025-06-17,254,37.5,1,0,1,0
2025-06-18,260,33.2,0,0,1,0
2025-06-19,252,32.2,1,0,1,0
2025-06-20,299,32.0,0,0,1,0
2025-06-21,306,32.1,1,0,0,1
2025-06-22,379,33.6,0,1,0,1
2025-06-23,284,34.5,0,0,1,0
2025-06-24,320,34.4,1,1,1,0
2025-06-25,297,35.5,0,0,1,0
2025-06-26,280,33.8,0,0,1,0
2025-06-27,334,36.7,1,1,1,0
2025-06-28,308,33.3,1,0,0,1
2025-06-29,323,39.3,0,0,0,1
