日付,販売数,メニュー,曜日,天気,気温,イベント,価格,注文伝票No
2026-02-25,107,からあげ弁当,水,くもり,-2.7,なし,590,10105
2026-02-26,93,からあげ弁当,木,雨,5.8,なし,590,10106
2026-02-27,116,ハンバーグ弁当,金,晴れ,2.3,なし,630,10107
2026-03-02,92,からあげ弁当,月,晴れ,7.2,なし,590,10108
2026-03-03,111,からあげ弁当,火,くもり,6.7,なし,580,10109
2026-03-04,79,生姜焼き弁当,水,晴れ,13.6,なし,610,10110
2026-03-05,82,焼き魚弁当,木,晴れ,14.5,なし,570,10111
2026-03-06,115,ハンバーグ弁当,金,晴れ,9.9,なし,620,10112
2026-03-09,60,焼き魚弁当,月,晴れ,6.9,なし,570,10113
2026-03-10,63,ハンバーグ弁当,火,雨,16.9,なし,630,10114
2026-03-11,80,生姜焼き弁当,水,くもり,12.0,なし,610,10115
2026-03-12,117,からあげ弁当,木,くもり,8.3,なし,590,10116
2026-03-13,101,生姜焼き弁当,金,晴れ,12.7,なし,600,10117
2026-03-16,97,カレー弁当,月,晴れ,12.4,なし,550,10118
2026-03-17,83,生姜焼き弁当,火,晴れ,8.9,なし,600,10119
2026-03-18,74,焼き魚弁当,水,晴れ,4.2,なし,550,10120
2026-03-19,88,生姜焼き弁当,木,晴れ,10.1,なし,590,10121
2026-03-20,104,カレー弁当,金,くもり,9.3,なし,530,10122
2026-03-23,66,焼き魚弁当,月,くもり,10.5,なし,560,10123
2026-03-24,72,からあげ弁当,火,雨,9.1,なし,600,10124
2026-03-25,73,カレー弁当,水,雨,11.7,なし,530,10125
2026-03-26,80,カレー弁当,木,雨,11.8,なし,550,10126
2026-03-27,168,からあげ弁当,金,くもり,10.9,あり,580,10127
2026-03-30,80,焼き魚弁当,月,晴れ,11.4,なし,560,10128
2026-03-31,73,焼き魚弁当,火,晴れ,10.4,なし,550,10129
2026-04-01,103,からあげ弁当,水,くもり,15.5,なし,600,10130
2026-04-02,100,カレー弁当,木,晴れ,9.1,なし,530,10131
2026-04-03,123,カレー弁当,金,晴れ,15.6,なし,530,10132
2026-04-06,92,カレー弁当,月,晴れ,15.4,なし,530,10133
2026-04-07,96,ハンバーグ弁当,火,晴れ,17.0,なし,610,10134
2026-04-08,129,カレー弁当,水,晴れ,11.5,あり,540,10135
2026-04-09,89,焼き魚弁当,木,くもり,14.6,あり,570,10136
2026-04-10,55,焼き魚弁当,金,雨,18.8,なし,560,10137
2026-04-13,107,からあげ弁当,月,晴れ,13.9,なし,580,10138
2026-04-14,83,ハンバーグ弁当,火,くもり,13.9,なし,610,10139
2026-04-15,91,カレー弁当,水,晴れ,14.9,なし,530,10140
2026-04-16,112,カレー弁当,木,晴れ,15.4,なし,530,10141
2026-04-17,78,カレー弁当,金,雨,21.2,なし,550,10142
2026-04-20,76,生姜焼き弁当,月,晴れ,21.6,なし,600,10143
2026-04-21,112,からあげ弁当,火,くもり,16.5,なし,600,10144
2026-04-22,67,カレー弁当,水,雨,11.3,なし,530,10145
2026-04-23,73,カレー弁当,木,雨,15.4,なし,540,10146
2026-04-24,77,焼き魚弁当,金,くもり,17.5,なし,550,10147
2026-04-27,59,焼き魚弁当,月,雨,17.2,なし,570,10148
2026-04-28,101,からあげ弁当,火,くもり,16.7,なし,580,10149
2026-04-29,97,ハンバーグ弁当,水,晴れ,19.9,なし,620,10150
2026-04-30,79,からあげ弁当,木,雨,16.0,なし,590,10151
2026-05-01,113,カレー弁当,金,くもり,19.2,なし,550,10152
2026-05-04,93,カレー弁当,月,くもり,20.5,なし,540,10153
2026-05-05,108,からあげ弁当,火,晴れ,17.4,なし,590,10154
2026-05-06,82,からあげ弁当,水,雨,19.6,なし,580,10155
2026-05-07,112,からあげ弁当,木,くもり,17.8,なし,590,10156
2026-05-08,109,カレー弁当,金,くもり,20.9,なし,530,10157
2026-05-11,63,生姜焼き弁当,月,雨,16.5,なし,610,10158
2026-05-12,67,ハンバーグ弁当,火,雨,13.4,なし,620,10159
2026-05-13,81,焼き魚弁当,水,晴れ,19.5,なし,560,10160
2026-05-14,95,カレー弁当,木,くもり,21.9,なし,530,10161
2026-05-15,123,からあげ弁当,金,くもり,15.1,なし,580,10162
2026-05-18,68,生姜焼き弁当,月,晴れ,23.1,なし,610,10163
2026-05-19,112,からあげ弁当,火,晴れ,13.9,なし,590,10164
2026-05-20,73,カレー弁当,水,雨,20.1,なし,530,10165
2026-05-21,87,からあげ弁当,木,雨,20.8,なし,580,10166
2026-05-22,124,カレー弁当,金,晴れ,23.9,なし,550,10167
2026-05-25,104,カレー弁当,月,晴れ,21.4,なし,540,10168
2026-05-26,83,生姜焼き弁当,火,晴れ,18.1,なし,590,10169
2026-05-27,75,ハンバーグ弁当,水,雨,15.2,なし,630,10170
2026-05-28,54,焼き魚弁当,木,雨,24.4,なし,570,10171
2026-05-29,130,からあげ弁当,金,晴れ,21.9,なし,580,10172
2026-06-01,60,焼き魚弁当,月,雨,23.3,なし,560,10173
2026-06-02,114,からあげ弁当,火,晴れ,21.6,なし,600,10174
2026-06-03,92,ハンバーグ弁当,水,くもり,23.8,なし,630,10175
2026-06-04,98,ハンバーグ弁当,木,晴れ,16.8,なし,620,10176
2026-06-05,111,からあげ弁当,金,雨,19.4,なし,580,10177
2026-06-08,64,焼き魚弁当,月,くもり,18.8,なし,550,10178
2026-06-09,95,ハンバーグ弁当,火,晴れ,24.2,なし,610,10179
2026-06-10,99,カレー弁当,水,くもり,25.1,なし,530,10180
2026-06-11,109,からあげ弁当,木,くもり,22.1,なし,600,10181
2026-06-12,110,ハンバーグ弁当,金,晴れ,22.8,なし,620,10182
2026-06-15,86,からあげ弁当,月,雨,21.4,なし,600,10183
2026-06-16,86,ハンバーグ弁当,火,くもり,16.4,なし,610,10184
2026-06-17,88,ハンバーグ弁当,水,晴れ,22.6,なし,620,10185
2026-06-18,98,ハンバーグ弁当,木,くもり,22.5,なし,610,10186
2026-06-19,104,生姜焼き弁当,金,晴れ,23.7,なし,610,10187
2026-06-22,69,生姜焼き弁当,月,雨,23.0,なし,590,10188
2026-06-23,80,からあげ弁当,火,雨,20.7,なし,590,10189
2026-06-24,95,ハンバーグ弁当,水,晴れ,27.0,なし,630,10190
2026-06-25,84,ハンバーグ弁当,木,晴れ,21.1,なし,620,10191
2026-06-26,124,からあげ弁当,金,くもり,20.9,なし,600,10192
2026-06-29,100,からあげ弁当,月,くもり,21.6,なし,580,10193
2026-06-30,93,生姜焼き弁当,火,晴れ,15.7,なし,610,10194
